,titles,links,dates,contents
82,[제목 : [야놀자] 기업정보비밀유지(기밀유지) 계약이 있어서 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=119,2021-05-30,조 단위 투자에 있어서ib 업계 통상 기업정보비밀유지 계약이있어서 발표할수 없음그렇지만 투자업계 에서는 이미어느정도 단계로 넘어갔을거구미국상장은. 투자 마무리되면바로 고고
83,[제목 : [야놀자] 야놀자 매수좀 할려고 하는데 요즘 어떤가요? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=120,2021-06-10,야놀자 앞으로 가능성이 있는것같아 매수좀 할려고 하는데 고수님들 앞으로 방향성이 어떻게 될런지 알려주시면 감사하겠습니다.
84,"[코멘트 : [야놀자]
 야놀자 가야지 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=121,2021-06-11,야놀자 가야지
85,[제목 : [야놀자] 밀크 목표 10000원 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=123,2021-06-24,전재산 몰빵매수 하거라
86,"[제목 : [야놀자] 손정의 비전펀드, 야놀자에 1조185억 투자 확정 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=124,2021-07-07,기업가치 10조 원 인정…소뱅 지분 10% 투자2년 뒤 나스닥 상장 추진…M&A·동남아 진출 활용지금 들어온다는건 지금 들어와서도 몇배 먹겠다는 걸텐데 ...기존 주주님들 부럽네요!!
87,"[코멘트 : [야놀자] 생각보다 빨리 결정났네요? 대박입니다.ㅎㅎ
기업가 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=125,2021-07-07,생각보다 빨리 결정났네요? 대박입니다.ㅎㅎ기업가치 10조 인정받았네요
88,[제목 : [야놀자] 손정의 2조 투자확정 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=126,2021-07-15,가자아 나스닥. 시총 50조
89,"[제목 : [야놀자]
 먹튀 손정의가 투자 한것 보면 끝물이구나.. ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=127,2021-07-15,지는 싸게 사고..개인들에게만 비싸게 팔아 먹는 기업...사는 순간 호구된다..
90,"[코멘트 : [야놀자] 손정의 처럼 2조가 아니라 2천원은 있냐?
손정의가 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=128,2021-07-15,손정의 처럼 2조가 아니라 2천원은 있냐?손정의가 야놀자 10조 가치 인정하고 2조 투자했는데. 니 말처럼 지금 싸게 샀으니 나스닥가면 100조에팔겠네.
91,[제목 : [야놀자] 먹튀 손정의가 투자 한것 보면 끝물이구나.. ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=131,2021-07-16,맞어
