date,price,kospi지수,누적투자금,기업가치,트래픽,버즈량(SNS),소비자 거래지수,소비자 거래건수,고용현황,입사자,퇴사자,선행종합지수(2015=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2015=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p).1,후행종합지수(2015=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p),경제심리지수(원계열),경제심리지수(순환변동치),소비자물가지수(2020=100),생활물가지수,식품물가지수,상품,농축수산물,농산물,곡물,채소,과실,기타농산물,축산물,수산물,가공식품,신선식품,신선어개,신선채소,신선과실,신선식품제외,현재생활형편(전체),현재생활형편(여성),현재생활형편(40세미만),현재생활형편(40~50),현재생활형편(50~60),현재경기판단(전체),현재경기판단(여성),현재경기판단(40세미만),현재경기판단(40~50),현재경기판단(50~60),생활형편전망(전체),생활형편전망(여성),생활형편전망(40세미만),생활형편전망(40~50),생활형편전망(50~60),향후경기전망(전체),향후경기전망(여성),향후경기전망(40세미만),향후경기전망(40~50),향후경기전망(50~60),소비지출전망(전체),소비지출전망(여성),소비지출전망(40세미만),소비지출전망(40~50),소비지출전망(50~60),외식비지출전망(전체),외식비지출전망(여성),외식비지출전망(40세미만),외식비지출전망(40~50),외식비지출전망(50~60),소비자심리지수,전일대비kospi차이,kospi일일등락률(%),배당수익률(%),주가이익비율,주가자산비율,시가지수,고가지수,저가지수,거래량(천주),거래대금(백만원),상장시가총액(백만원),식료품업 코스피,유통업 코스피,운수창고업 코스피,보통휘발유,자동차용경유,Community_N,Community_P,News_N,News_P
2021-10-13,40200,2944.41,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,28.03,0.96,1.87,14.12,1.16,2913.34,2953.33,2909.47,752132,12294514,2141374217,4058.05,397.82,2194.45,1693.57,1490.26,0,0,0,1
2021-10-14,40600,2988.64,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,44.23,1.5,1.84,14.34,1.18,2968.87,2988.97,2962.33,617170,12064564,2172764571,4109.67,401.08,2225.07,1700.95,1498.15,0,0,0,1
2021-10-15,40000,3015.06,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,26.42,0.88,1.82,14.47,1.19,3012.62,3021.9,2999.33,857798,12540973,2192125725,4129.23,406.36,2246.63,1709.17,1506.65,0,0,0,1
2021-10-18,38000,3006.68,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-8.38,-0.28,1.83,14.43,1.19,3017.48,3021.17,2990.44,926369,10649949,2186010002,4146.17,403.48,2203.73,1725.89,1523.77,0,0,0,1
2021-10-19,38600,3029.04,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,22.36,0.74,1.81,14.54,1.2,3022.23,3034.53,3014.19,845704,10112026,2202301797,4153.96,402.1,2211.16,1732.45,1530.43,1,0,0,1
2021-10-20,40000,3013.13,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-15.91,-0.53,1.82,14.46,1.19,3043.13,3047.24,3012.97,680327,11178213,2191094043,4167.55,400.29,2187.1,1739.15,1537.28,0,0,0,1
2021-10-21,40700,3007.33,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-5.8,-0.19,1.83,14.43,1.19,3012.28,3025.88,3002.74,887370,10572398,2185679891,4152.67,400.5,2187.91,1743.99,1542.25,0,0,0,1
2021-10-22,40700,3006.16,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-1.17,-0.04,1.83,14.43,1.19,3005.36,3018.7,2996.26,695273,9047263,2184542201,4149.86,401.51,2163.15,1748.7,1547.04,0,0,0,1
2021-10-25,40100,3020.54,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,14.38,0.48,1.82,14.5,1.19,3001.1,3025.27,2983.29,791796,10489294,2194484567,4166.97,406.3,2208.23,1758.42,1556.69,0,0,0,1
2021-10-26,40000,3049.08,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,28.54,0.94,1.8,14.63,1.2,3039.82,3051.65,3030.53,564560,9512682,2215757780,4165.02,407,2212.67,1762.66,1560.93,0,0,0,1
2021-10-27,39200,3025.49,1,1,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-23.59,-0.77,1.82,14.52,1.19,3045.83,3049.02,3019,607875,10220673,2198753266,4121.14,403.01,2141.12,1766.7,1564.79,0,0,0,1
2021-10-28,39400,3009.55,1.121065375,1.346666667,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-15.94,-0.53,1.83,14.44,1.19,3023.17,3034.42,3009.55,617257,12367618,2188063339,4072.06,395.23,2125.47,1770.89,1568.88,0,1,0,1
2021-10-29,40400,2970.68,1.121065375,1.346666667,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107,-38.87,-1.29,1.85,14.25,1.17,3025.67,3030.17,2965.4,545834,11035682,2159375927,4013.68,390.62,2098.85,1774.44,1572.22,1,0,0,1
2021-11-01,40400,2978.94,1.121065375,1.346666667,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108,8.26,0.28,1.84,14.3,1.18,2984.18,2991.81,2976.87,475382,9410799,2166070210,4043.45,389.53,2105.85,1784.53,1582.01,0,0,0,1
2021-11-02,40400,3013.49,1.121065375,1.346666667,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108,34.55,1.16,1.82,14.46,1.19,2995.58,3034.3,2995.58,525853,9662968,2191376531,4059.27,393.1,2132.93,1788.16,1585.36,0,0,0,1
2021-11-03,42400,2975.71,1.121065375,1.346666667,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108,-37.78,-1.25,1.85,14.29,1.17,3020.36,3020.87,2969.01,658648,12438268,2189540503,4008.68,390.79,2086.09,1791.29,1588.34,0,0,0,1
2021-11-04,44500,2983.22,1.121065375,1.346666667,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108,7.51,0.25,1.82,14.5,1.19,3000.92,3011.56,2978.07,772024,14658520,2195428830,3987.27,389.27,2088.52,1794.95,1591.63,0,0,0,1
2021-11-05,46000,2969.27,1.121065375,1.346666667,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108,-13.95,-0.47,1.83,14.43,1.19,3003.53,3003.53,2953.96,688028,12669723,2185189386,3948.56,385,2073.67,1797.95,1594.42,0,0,0,1
2021-11-08,45800,2960.2,1.121065375,1.346666667,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108,-9.07,-0.31,1.83,14.39,1.18,2965.36,2968.18,2930.9,560205,10388089,2178020380,3947.8,389.24,2106.34,1805.18,1600.87,0,0,0,1
2021-11-09,44800,2962.46,1.121065375,1.346666667,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108,2.26,0.08,1.83,14.4,1.18,2958.15,2987.28,2949.17,708773,9684977,2180787959,3928.76,388.15,2086.24,1807.47,1602.98,,,,
