구분,보통휘발유,자동차용경유
2022. 5. 29,2008.76,2006.09
2022. 5. 30,2010.45,2007.13
2022. 5. 31,2012.69,2008.23
2022. 6. 1,2015.37,2009.47
2022. 6. 2,2017.79,2011.18
2022. 6. 3,2020.84,2013.43
2022. 6. 4,2026.21,2018.44
2022. 6. 5,2029.29,2021.12
2022. 6. 6,2032.04,2023.85
2022. 6. 7,2035.74,2027.96
2022. 6. 8,2042.04,2036.52
2022. 6. 9,2048.47,2044.4
2022. 6. 10,2056.79,2054.37
2022. 6. 11,2064.59,2063.53
2022. 6. 12,2068.6,2067.99
2022. 6. 13,2074.3,2074.89
2022. 6. 14,2081.98,2083.67
2022. 6. 15,2087.61,2090.62
2022. 6. 16,2092.2,2096.1
2022. 6. 17,2098.45,2104.2
2022. 6. 18,2104.63,2112.5
2022. 6. 19,2107.53,2115.96
2022. 6. 20,2111.28,2120.85
2022. 6. 21,2116.35,2127.58
2022. 6. 22,2120.14,2133.25
2022. 6. 23,2123.61,2138.2
2022. 6. 24,2126.71,2143.13
2022. 6. 25,2129.47,2147.06
2022. 6. 26,2131.16,2149.16
2022. 6. 27,2133.8,2153
2022. 6. 28,2137.3,2158.24
2022. 6. 29,2141.09,2163.15
2022. 6. 30,2144.9,2167.66
2022. 7. 1,2128.84,2157.7
2022. 7. 2,2124.75,2155.39
2022. 7. 3,2123.33,2154.46
2022. 7. 4,2120.58,2153.08
2022. 7. 5,2117.18,2150.78
2022. 7. 6,2113.85,2148.59
2022. 7. 7,2108.96,2145.24
2022. 7. 8,2102.49,2140.28
2022. 7. 9,2097.77,2136.65
2022. 7. 10,2095.64,2134.84
2022. 7. 11,2090.82,2131.28
2022. 7. 12,2082.1,2124.27
2022. 7. 13,2073.11,2117.16
2022. 7. 14,2061.81,2108.96
2022. 7. 15,2049.04,2099.72
2022. 7. 16,2038.83,2092.28
2022. 7. 17,2034.36,2088.75
2022. 7. 18,2026.25,2082.11
2022. 7. 19,2013.01,2072.42
2022. 7. 20,2002.16,2063.99
2022. 7. 21,1989.93,2055.28
2022. 7. 22,1977.25,2046.01
2022. 7. 23,1964.6,2036.83
2022. 7. 24,1959.42,2032.61
2022. 7. 25,1948.86,2024.7
2022. 7. 26,1936.63,2015.01
2022. 7. 27,1926.81,2006.74
2022. 7. 28,1916.88,1998.46
2022. 7. 29,1907.31,1991.04
2022. 7. 30,1900.44,1985.32
2022. 7. 31,1897.27,1982.61
2022. 8. 1,1889.82,1976.46
2022. 8. 2,1881.75,1969.64
2022. 8. 3,1874.05,1963.18
2022. 8. 4,1866.41,1956.93
2022. 8. 5,1859.17,1950.56
2022. 8. 6,1852,1944.14
2022. 8. 7,1848.83,1941.43
2022. 8. 8,1842.61,1935.96
2022. 8. 9,1834.04,1928.2
2022. 8. 10,1825.12,1920.46
2022. 8. 11,1815.48,1911.58
2022. 8. 12,1805.86,1902.96
2022. 8. 13,1797.86,1895.71
2022. 8. 14,1794.06,1892.04
2022. 8. 15,1789.04,1887.53
2022. 8. 16,1781.36,1880.12
2022. 8. 17,1771.95,1870.89
2022. 8. 18,1764.38,1863.53
2022. 8. 19,1757.86,1857.23
2022. 8. 20,1753.37,1852.84
2022. 8. 21,1751.21,1850.59
2022. 8. 22,1746.84,1846.57
2022. 8. 23,1742.37,1842.27
2022. 8. 24,1739.85,1839.79
2022. 8. 25,1738.54,1838.6
