,titles,links,dates,contents
40,[제목 : [이브이알스튜디오] 기관 발행가 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=309,2021-05-27,얼마인가요
41,[제목 : [이브이알스튜디오] 이번 기관 투자 받은 물량 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=310,2021-06-01,CB전환 전 이라 현 시총 816 억원 이네요16.000원 기준전환 되지 않은 상태에서 미리 시총에 반영 시키는 예는 없죠블록버스터 신약 개발하는 클래스 인데 임상 3상 진행 중인 걸로 판단 할때엄청난 저 평가 상태최소 2.000억은 되어야 하는데조만간 기관 투자 또 들어 오는 것은 일이 무쟈게 잘 진전되고 있단 증거
42,[코멘트 : [이브이알스튜디오] 제발 잘 되기를요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=311,2021-06-01,제발 잘 되기를요
43,[제목 : [이브이알스튜디오] 기관이 계속해서 투자한다면? ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=312,2021-06-02,중박은 따 놓은상황일한번 내보자구요.
44,[코멘트 : [이브이알스튜디오] 매출도 없는 회사에서 뭘보고 저평가냐ㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=313,2021-06-09,매출도 없는 회사에서 뭘보고 저평가냐ㅋㅋ
45,[코멘트 : [이브이알스튜디오] 바이오 주하고 게임주는 매출 나올때 들어가면 이미 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=314,2021-06-09,바이오 주하고 게임주는 매출 나올때 들어가면 이미 늦는다.바이오 주들 500억씩 적자나도 시가총액은 조단위로 평가 받는다.지금 이브이알은 바이오 주로 따지자면 다수의 파이프라인 보유임상 3상 진행중인 걸로 판단하고 들어가면 된다.기관들이 짱구가 아니다조만간 또 투자 들어올 예정 기관이 투자 들어올 때는 최소 10배 보고 들어온다
46,[제목 : [이브이알스튜디오] 정답입니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=315,2021-06-09,
47,[제목 : [이브이알스튜디오] 기생충 VR 제작 프랑스파리서 공개 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=316,2021-06-10,"XR 콘텐츠와 콘솔 게임 선도 기업, ㈜이브이알스튜디오(EVR STUDIO)에서 제작한 ‘기생충VR’ 이 프랑스 파리 유네스코 본부에서 공개된다.㈜이브이알스튜디오는 다음 달 7일부터 16일까지 프랑스 파리에서 열리는 '한국 : 입체적 상상(Korea : Cubically Imagined)' 에서 한국을 대표하는 영화 ‘기생충’의 VR 아트 필름을 최초로 선보인다고 10일 전했다.이 전시회는 한국콘텐츠진흥원과 유네스코 사무국 문화다양성 협약 부서가 공동으로 주최하여, 확장현실(XR) 콘텐츠인 'BTS MAP OF THE SOUL ON:E' 공연 등이 함께 전시될 예정이다. 또한 감독을 맡은 구범석 이사의 기생충 VR 제작기를 내용으로 한 토크 프로그램 등도 함께 운영될 것으로 알려졌다.‘기생충 VR’은 기생충’ IP를 활용한 최초의 VR 필름으로, ㈜이브이알스튜디오의 구범석 이사가 총감독을 맡았으며, ‘영화 ‘기생충’의 공간들과 숨겨져 있는 메타포들을 가상현실이라는 새로운 틀 안에서 시각적 언어로 풀어낸 작품이다. HMD를 착용하여 체험할 수 있는 VR 콘텐츠 뿐 아니라, 미디어 월 버전도 별도 제작했다. 제작이 완료된 후 진행된 비공개 시연회에서, 봉준호 감독으로부터 극찬을 받았다고 전해졌다.연출을 맡은 구범석 이사는 헐리우드 CG/VFX 1세대 전문가로, ‘반지의 제왕 : 왕의 귀환’, ‘황금 나침반’ 등의 블록버스터 영화의 제작에 참여하였으며, 세계 최초의 4DX VR 영화 ‘기억을 만나다’와 간송 미술관을 소재로 한 ‘보화각VR’ 등의 감독을 맡았다.구범석 이사는 “많은 프로젝트를 해왔지만, 이번 프로젝트는 한국의 대표하는 영화 ‘기생충’을 소재로 하였기 때문에, 영광스럽기 하였고, 부담도 적지 않았다.”며, “많은 VR 콘텐츠가 자극적인 것으로 몰입감을 극대화함에 치우치는데, ‘기생충VR’에서는 영화적 연출을 통해, 원작과 교감을 중요시 했다. 그런 부분이 좋은 평가를 받은 것 같다.”고 설명했다. 더불어 “앞으로 더 좋은 작품들을 통해 이브이알스튜디오의 우수함을 알리는데 힘 쓰겠다.” 라고 포부를 밝혔다.한편, ㈜이브이알스튜디오는 세계적인 수준의 게임 개발자들과 할리우드 출신의 시각효과 전문가들로 구성된 콘솔게임 및 XR 콘텐츠 개발사로, 지난 2017년 글로벌 경제 전문지 ‘포브스’에서 선정한 '모두가 지금 주목해야 할 아시아의 스타트업'으로 소개된 바 있다.박광석 기자"
48,"[코멘트 : [이브이알스튜디오] 계속해서 결과물이 나올겁니다
주주분들 기대 하세요 ]",https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=317,2021-06-10,계속해서 결과물이 나올겁니다주주분들 기대 하세요
49,[제목 : [이브이알스튜디오] 기관투자 추가로 들어 온답니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=318,2021-06-19,상장 주관사 선정하고 상장 절차 돌입예정땅 집고 헤엄치기 주식투자 비법기관 투자상장 절차 돌입 종목은 손실 볼 확률 10% 미만
