iter	Passed	Remaining
544	4268	3563
545	4275	3554
546	4280	3544
547	4290	3539
548	4298	3531
549	4303	3520
550	4311	3513
551	4317	3504
552	4324	3495
553	4331	3486
554	4340	3480
555	4351	3475
556	4357	3466
557	4366	3458
558	4374	3451
559	4378	3440
560	4384	3431
561	4391	3422
562	4396	3412
563	4402	3403
564	4406	3392
565	4415	3385
566	4421	3376
567	4430	3369
568	4436	3360
569	4450	3357
570	4457	3348
571	4463	3339
572	4474	3334
573	4480	3325
574	4487	3316
575	4494	3308
576	4508	3305
577	4511	3294
578	4517	3284
579	4529	3280
580	4537	3272
581	4544	3264
582	4548	3253
583	4557	3246
584	4567	3240
585	4575	3232
586	4582	3224
587	4587	3214
588	4595	3207
589	4604	3200
590	4613	3192
591	4623	3186
592	4631	3178
593	4638	3170
594	4643	3161
595	4650	3152
596	4659	3145
597	4666	3137
598	4671	3127
599	4677	3118
600	4684	3109
601	4692	3102
602	4697	3092
603	4705	3084
604	4715	3078
605	4720	3069
606	4728	3061
607	4734	3052
608	4741	3044
609	4747	3035
610	4753	3026
611	4759	3017
612	4765	3008
613	4771	2999
614	4777	2990
615	4785	2982
616	4795	2976
617	4801	2967
618	4809	2960
619	4815	2951
620	4821	2942
621	4828	2934
622	4834	2925
623	4841	2917
624	4850	2910
625	4855	2901
626	4861	2892
627	4866	2882
628	4872	2873
629	4878	2865
630	4885	2857
631	4893	2849
632	4902	2842
633	4908	2833
634	4914	2824
635	4920	2816
636	4926	2807
637	4934	2800
638	4942	2792
639	4952	2785
640	4958	2777
641	4964	2768
642	4969	2759
643	4975	2750
644	4985	2743
645	4992	2736
646	5001	2728
647	5008	2720
648	5017	2713
649	5023	2705
650	5029	2696
651	5036	2688
652	5045	2681
653	5056	2675
654	5062	2666
655	5069	2658
656	5077	2650
657	5084	2642
658	5091	2634
659	5098	2626
660	5104	2617
661	5110	2609
662	5117	2601
663	5126	2594
664	5135	2586
665	5141	2578
666	5149	2571
667	5154	2561
668	5162	2554
669	5167	2544
670	5173	2536
671	5179	2528
672	51673	5204673	5196	2513
674	5210	2508
675	5219	2501
676	5225	2493
677	5232	2485
678	5238	2476
679	5245	2468
680	5252	2460
681	5259	2452
682	5266	2444
683	5273	2436
684	5282	2428
685	5288	2420
686	5295	2412
687	5305	2405
688	5314	2398
689	5320	2390
690	5327	2382
691	5337	2375
692	5341	2366
693	5349	2358
694	5356	2350
695	5361	2341
696	5369	2334
697	5377	2326
698	5383	2318
699	5388	2309
700	5395	2301
701	5404	2294
702	5409	2285
703	5420	2278
704	5430	2272
705	5435	2263
706	5441	2255
707	5450	2248
708	5458	2240
709	5467	2233
710	5474	2225
711	5481	2217
712	5490	2210
713	5497	2201
714	5503	2193
715	5511	2185
716	5517	2177
717	5528	2171
718	5534	2163
719	5543	2155
720	5548	2146
721	5556	2139
722	5561	2130
723	5572	2124
724	5579	2116
725	5589	2109
726	5597	2101
727	5605	2094
728	5611	2085
729	5617	2077
730	5624	2069
731	5631	2061
732	5638	2053
733	5644	2045
734	5651	2037
735	5658	2029
736	5665	2021
737	5672	2013
738	5681	2006
739	5690	1999
740	5699	1991
741	5706	1984
742	5712	1975
743	5720	1968
744	5727	1960
745	5736	1953
746	5742	1944
747	5748	1936
748	5758	1929
749	5764	1921
750	5771	1913
751	5778	1905
752	5785	1897
753	5791	1889
754	5799	1881
755	5806	1874
756	5811	1865
757	5821	1858
758	5827	1850
759	5837	1843
760	5842	1834
761	5849	1827
762	5857	1819
763	5864	1811
764	5872	1803
765	5878	1795
766	5884	1787
767	5891	1779
768	5904	1773
769	5910	1765
770	5916	1757
771	5922	1749
772	5930	1741
773	5936	1733
774	5942	1725
775	5949	1717
776	5954	1709
777	59778	5982778	59779	5989779	59780	5996780	59781	6003781	59782	6009782	59783	6016783	60784	6022784	60785	6031785	60786	6037786	60787	6045	1626
788	6051788	60789	6060	1611
790	6067790	60791	6073791	60792	6080792	60793	6086793	60794	6092794	60795	6099795	60796	6108796	60797	6115797	61798	6122798	61799	6129799	61800	6134800	6124	1521
801	61802	6150802	61803	6158803	61804	6166804	61805	6172805	61806	6179806	61807	6185807	61808	6193808	61809	6200809	61810	6212810	61811	6219811	62812	6224812	62813	6233813	62814	6241814	62815	6247815	62816	6255816	62817	6261817	62818	6268818	6261	1383
819	6271	1376
820	6277	1368
821	6288	1361
822	6292	1353
823	6299	1345
824	6305	1337
825	63826	6331826	63827	6337827	6329	1314
828	6337	1307
829	6345	1299
830	6351	1291
831	6356	1283
832	6364	1275
833	6371	1268
834	6377	1260
835	6384	1252
836	6391	1244
837	6399	1237
838	6407	1229
839	6412	1221
840	6418	1213
841	6425	1205
842	6431	1197
843	6441	1190
844	6448	1182
845	6456	1175
846	6467	1168
847	6474	1160
848	6482	1152
849	6489	1145
850	6495	1137
851	6504	1129
852	6511	1122
853	6520	1114
854	6527	1106
